"","nlcd","elevation","aspect","slope","x","y","aspect_categorical","animal_id","use"
"264412",7,2064.5537109375,106.917388916016,3.7643780708313,-1127760,1724190,"E","D12",0
"202073",6,2083.35083007812,111.42992401123,6.78703260421753,-1127580,1724580,"E","D12",0
"221261",6,2076.02197265625,137.077453613281,5.42703104019165,-1127610,1724460,"S","D12",0
"273961",7,2072.56201171875,100.791793823242,4.59419822692871,-1127910,1724130,"E","D12",0
"22602",6,2078.89721679688,147.846313476562,7.06085634231567,-1127730,1724430,"S","D12",0
"278782",7,2068.35620117188,112.463569641113,3.46856665611267,-1127850,1724100,"E","D12",0
"216442",6,2080.06689453125,147.048248291016,5.3735556602478,-1127670,1724490,"S","D12",0
"22129",6,2071.533203125,130.122146606445,6.74628448486328,-1127520,1724460,"E","D12",0
"216493",6,2073.73754882812,119.160842895508,6.33635759353638,-1127520,1724490,"E","D12",0
"19247",6,2084.05444335938,76.8511199951172,6.49650955200195,-1127580,1724640,"E","D12",0
"18768",6,2080.728515625,101.279022216797,5.22806024551392,-1127550,1724670,"E","D12",0
"69485",7,2306.73168945312,146.636581420898,3.19985508918762,-1118040,1721520,"S","D8",0
"85768",7,2250.42993164062,238.63249206543,3.03213119506836,-1119150,1720500,"W","D8",0
"91541",7,2276.00708007812,205.730087280273,3.37910628318787,-1118760,1720140,"S","D8",0
"113577",7,2227.59301757812,280.329315185547,4.98067998886108,-1120080,1718760,"W","D8",0
"64269",6,2362.75927734375,190.834091186523,7.34213972091675,-1116120,1721850,"S","D8",0
"103980",7,2208.47045898438,187.314483642578,4.34324312210083,-1119990,1719360,"S","D8",0
"89622",3,2282.41064453125,180.025024414062,1.43096494674683,-1118730,1720260,"S","D8",0
"66149",7,2335.07788085938,248.477157592773,2.21092534065247,-1117320,1721730,"W","D8",0
"69510",7,2333.02099609375,174.706970214844,3.92396998405457,-1117290,1721520,"S","D8",0
"70453",7,2317.24169921875,289.468322753906,3.94794321060181,-1117800,1721460,"W","D8",0
"75765",7,2347.1279296875,213.137680053711,1.13646996021271,-1116840,1721130,"S","D8",0
"107330",6,2202.96752929688,315.41357421875,3.94556212425232,-1120290,1719150,"N","D8",0
"99677",7,2236.42895507812,272.198974609375,9.66157722473145,-1119480,1719630,"W","D8",0
"115025",7,2227.62426757812,219.779357910156,6.29249811172485,-1119840,1718670,"S","D8",0
"93419",7,2245.1806640625,175.884552001953,2.59710264205933,-1120020,1720020,"S","D8",0
"93473",7,2292.14916992188,257.954010009766,2.33117651939392,-1118400,1720020,"W","D8",0
"66152",6,2339.92578125,269.981658935547,3.84126687049866,-1117230,1721730,"W","D8",0
"78574",7,2272.7646484375,128.874481201172,4.11227035522461,-1118970,1720950,"E","D8",0
"82405",7,2264.673828125,196.193328857422,1.96027970314026,-1119240,1720710,"S","D8",0
"84799",7,2251.80102539062,216.950210571289,3.40920233726501,-1119420,1720560,"S","D8",0
"93903",4,2247.23828125,262.804443359375,4.5450611114502,-1119900,1719990,"W","D8",0
"77650",7,2296.07055664062,271.471099853516,3.37314081192017,-1117890,1721010,"W","D8",0
"105436",6,2246.26025390625,264.029724121094,2.98165416717529,-1119510,1719270,"W","D8",0
"82934",7,2315.60620117188,281.237945556641,2.84367656707764,-1117770,1720680,"W","D8",0
"84368",7,2308.18872070312,276.709838867188,2.44611239433289,-1117950,1720590,"W","D8",0
"101090",7,2225.75146484375,228.74104309082,2.30786395072937,-1120290,1719540,"W","D8",0
"67137",7,2345.52221679688,198.088562011719,3.11399507522583,-1116480,1721670,"S","D8",0
"61842",6,2356.12573242188,264.876434326172,3.48292064666748,-1116930,1722000,"W","D8",0
"66162",6,2346.86010742188,258.374328613281,6.93815422058105,-1116930,1721730,"W","D8",0
"100141",7,2237.26049804688,158.28547668457,3.95092391967773,-1119960,1719600,"S","D8",0
"108311",3,2240.51513671875,278.884796142578,2.19151711463928,-1119660,1719090,"W","D8",0
"62812",7,2365.61206054688,246.875930786133,1.86661791801453,-1116630,1721940,"W","D8",0
"65663",7,2327.95336914062,272.479034423828,2.60335755348206,-1117500,1721760,"W","D8",0
"92047",7,2299.560546875,185.481918334961,5.01116847991943,-1117980,1720110,"S","D8",0
"62348",6,2369.69604492188,251.389434814453,4.33802700042725,-1116150,1721970,"W","D8",0
"75754",7,2334.68969726562,259.454803466797,3.62060594558716,-1117170,1721130,"W","D8",0
"78603",7,2289.38720703125,154.763534545898,6.42479991912842,-1118100,1720950,"S","D8",0
"104961",3,2254.16723632812,263.328247070312,2.80362510681152,-1119360,1719300,"W","D8",0
"72844",7,2303.15673828125,221.679580688477,1.76541829109192,-1118070,1721310,"S","D8",0
"94396",7,2229.39453125,211.630706787109,7.14797639846802,-1119510,1719960,"S","D8",0
"90113",7,2289.6728515625,293.824859619141,3.94380640983582,-1118400,1720230,"W","D8",0
"54198",7,2394.56958007812,211.093536376953,3.30313229560852,-1115850,1722480,"S","D8",0
"62789",6,2336.56811523438,259.231323242188,2.34357023239136,-1117320,1721940,"W","D8",0
"75705",7,2280.10009765625,129.6318359375,3.7495129108429,-1118640,1721130,"E","D8",0
"105895",7,2206.38134765625,285.978668212891,4.19499921798706,-1120140,1719240,"W","D8",0
"81464",7,2265.6904296875,305.246185302734,4.63688802719116,-1118670,1720770,"W","D8",0
"112627",3,2235.61669921875,251.46305847168,3.1370701789856,-1119780,1718820,"W","D8",0
"59944",7,2380.28881835938,212.835098266602,2.44766402244568,-1116270,1722120,"S","D8",0
"101103",7,2229.97216796875,169.548095703125,9.75082302093506,-1119900,1719540,"S","D8",0
"93465",3,2286.07397460938,261.168304443359,1.8247777223587,-1118640,1720020,"W","D8",0
"94443",7,2286.60693359375,153.500427246094,7.09628105163574,-1118100,1719960,"S","D8",0
"81960",6,2291.08056640625,308.762054443359,7.32913589477539,-1118190,1720740,"W","D8",0
"92003",7,2260.49340820312,280.463500976562,4.99626111984253,-1119300,1720110,"W","D8",0
"61859",7,2373.77392578125,213.403121948242,2.49033308029175,-1116420,1722000,"S","D8",0
"59933",7,2364.60278320312,277.832427978516,1.94523811340332,-1116600,1722120,"W","D8",0
"72884",6,2337.201171875,319.776214599609,7.12936735153198,-1116870,1721310,"N","D8",0
"73340",7,2315.00561523438,151.649673461914,6.4931378364563,-1117590,1721280,"S","D8",0
"89645",6,2303.86889648438,317.571350097656,2.42708849906921,-1118040,1720260,"N","D8",0
"78590",7,2281.44897460938,213.227203369141,4.98085737228394,-1118490,1720950,"S","D8",0
"61841",6,2354.04321289062,261.131378173828,4.01102590560913,-1116960,1722000,"W","D8",0
"76192",7,2287.333984375,253.987655639648,2.45371556282043,-1118430,1721100,"W","D8",0
"113099",7,2231.49731445312,268.226715087891,2.9272084236145,-1120020,1718790,"W","D8",0
"113105",7,2231.73999023438,238.936386108398,3.53407669067383,-1119840,1718790,"W","D8",0
